NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  -302  0  111  0
4  -267  0  111  0
5  22  1  104  0
7  54  1  104  0
8  70  1  104  0
10  117  1  104  1
11  134  1  104  1
13  167  1  104  1
14  183  1  104  1
16  276  1  104  1
17  293  1  104  1
19  326  1  104  1
20  343  1  104  1
22  386  1  104  1
23  446  1  106  1
25  529  1  106  1
26  545  1  106  1
28  577  1  106  1
29  601  1  106  1
31  636  1  106  1
32  667  1  106  1
34  732  1  106  1
35  761  1  106  1
37  821  1  106  1
38  850  1  106  1
40  924  1  106  1
41  935  1  108  1
43  966  1  110  1
44  1002  1  110  1
46  1042  1  110  1
47  1047  1  110  1
49  1047  1  110  1
50  1047  1  110  1
52  1047  1  110  1
53  1047  1  110  1
55  1047  1  110  1
56  1047  1  110  1
58  1047  1  110  1
59  1047  1  110  1
61  1047  1  110  1
62  1047  1  110  1
64  1047  1  110  1
65  1047  1  110  1
67  1047  1  110  1
68  1047  1  110  1
70  1047  1  110  1
71  1047  1  110  1
73  1047  1  110  1
74  1047  1  110  1
76  1047  1  110  1
77  1047  1  110  1
79  1047  1  110  1
80  1047  1  110  1
82  1047  1  110  1
83  1047  1  110  1
85  1047  1  110  1
86  1047  1  110  1
88  1047  1  110  1
89  1047  1  110  1
91  1047  1  110  1
92  1047  1  110  1
94  1047  1  110  1
95  1047  1  110  1
97  1047  1  110  1
98  1047  1  110  1
100  1047  1  110  1
101  1047  1  110  1
103  1047  1  110  1
104  1047  1  110  1
106  1047  1  110  1
107  1047  1  110  1
109  1047  1  110  1
110  1047  1  110  1
112  1047  1  110  1
113  1047  1  110  1
115  1047  1  110  1
116  1047  1  110  1
118  1047  1  110  1
119  1047  1  110  1
121  1047  1  110  1
122  1047  1  110  1
124  1047  1  110  1
125  1047  1  110  1
127  1047  1  110  1
128  1047  1  110  1
130  1047  1  110  1
131  1047  1  110  1
133  1047  1  110  1
134  1047  1  110  1
136  1047  1  110  1
137  1047  1  110  1
139  1047  1  110  1
140  1047  1  110  1
142  1047  1  110  1
143  1047  1  110  1
145  1047  1  110  1
146  1047  1  110  1
148  1047  1  110  1
149  1047  1  110  1
151  1047  1  110  1
152  1047  1  110  1
154  1047  1  110  1
155  1047  1  110  1
157  1047  1  110  1
158  1047  1  110  1
160  1047  1  110  1
161  1047  1  110  1
163  1047  1  110  1
164  1047  1  110  1
