NodeId  AwarenessDistance  WasInformed  AwarenessTime  SafelyInformed
2  57  1  108  0
4  92  1  108  0
5  41  1  138  0
7  73  1  138  0
8  89  1  138  0
10  124  1  138  1
11  140  1  138  1
13  173  1  138  1
14  189  1  138  1
16  273  1  138  1
17  289  1  138  1
19  323  1  138  1
20  339  1  138  1
22  373  1  138  1
23  462  1  138  1
25  56  1  199  0
26  72  1  199  0
28  104  1  199  1
29  120  1  199  1
31  152  1  199  1
32  168  1  199  1
34  200  1  199  1
35  216  1  199  1
37  248  1  199  1
38  264  1  199  1
40  0  0  0  0
41  0  0  0  0
43  0  0  0  0
44  0  0  0  0
46  0  0  0  0
47  0  0  0  0
49  0  0  0  0
50  0  0  0  0
52  0  0  0  0
53  0  0  0  0
55  0  0  0  0
56  0  0  0  0
58  0  0  0  0
59  0  0  0  0
61  0  0  0  0
62  0  0  0  0
64  0  0  0  0
65  0  0  0  0
67  0  0  0  0
68  0  0  0  0
70  0  0  0  0
71  0  0  0  0
73  0  0  0  0
74  0  0  0  0
76  0  0  0  0
77  0  0  0  0
79  0  0  0  0
80  0  0  0  0
82  0  0  0  0
83  0  0  0  0
85  0  0  0  0
86  0  0  0  0
88  0  0  0  0
89  0  0  0  0
91  0  0  0  0
92  0  0  0  0
94  0  0  0  0
95  0  0  0  0
97  0  0  0  0
98  0  0  0  0
100  0  0  0  0
101  0  0  0  0
103  0  0  0  0
104  0  0  0  0
106  0  0  0  0
107  0  0  0  0
109  0  0  0  0
110  0  0  0  0
112  0  0  0  0
113  0  0  0  0
115  0  0  0  0
116  0  0  0  0
118  0  0  0  0
119  0  0  0  0
121  0  0  0  0
122  0  0  0  0
124  0  0  0  0
125  0  0  0  0
127  0  0  0  0
128  0  0  0  0
130  0  0  0  0
131  0  0  0  0
133  0  0  0  0
134  0  0  0  0
136  0  0  0  0
137  0  0  0  0
139  0  0  0  0
140  0  0  0  0
142  0  0  0  0
143  0  0  0  0
145  0  0  0  0
146  0  0  0  0
148  0  0  0  0
149  0  0  0  0
151  0  0  0  0
152  0  0  0  0
154  0  0  0  0
155  0  0  0  0
157  0  0  0  0
158  0  0  0  0
160  0  0  0  0
161  0  0  0  0
163  0  0  0  0
164  0  0  0  0
